Layer Sizes,Learning Rate,Regularization Strength,Validation Accuracy,Validation Loss,Training Time
"[784, 256, 128, 10]",0.1,0.0,0.8921666666666667,0.31977207967445564,118.84310913085938
"[784, 256, 128, 10]",0.1,0.001,0.89,0.3076210404822626,119.12356662750244
"[784, 128, 64, 10]",0.1,0.0,0.888,0.3256340752846796,40.580341815948486
"[784, 256, 128, 10]",0.05,0.0,0.8878333333333334,0.31088214564993877,119.47419285774231
"[784, 256, 128, 10]",0.05,0.001,0.8865,0.3223110935074624,118.60743546485901
"[784, 128, 64, 10]",0.1,0.001,0.8863333333333333,0.3177184609005661,39.74254631996155
"[784, 64, 32, 10]",0.1,0.0,0.886,0.32350488371153735,28.848650455474854
"[784, 64, 32, 10]",0.1,0.001,0.8825,0.3265758420518752,28.765838384628296
"[784, 64, 32, 10]",0.05,0.0,0.8821666666666667,0.33315644630386465,29.494851112365723
"[784, 128, 64, 10]",0.05,0.0,0.881,0.32529730109618304,38.70470643043518
"[784, 128, 64, 10]",0.05,0.001,0.8803333333333333,0.3329591317489778,40.865638732910156
"[784, 64, 32, 10]",0.05,0.001,0.875,0.34211908218300535,29.224759340286255
"[784, 128, 64, 10]",0.05,0.01,0.846,0.441710331041225,41.02536702156067
"[784, 256, 128, 10]",0.1,0.01,0.8451666666666666,0.43725097751048597,118.05421137809753
"[784, 64, 32, 10]",0.1,0.01,0.8435,0.44665700116674245,27.74589729309082
"[784, 64, 32, 10]",0.05,0.01,0.843,0.4545450059469982,28.641270875930786
"[784, 128, 64, 10]",0.1,0.01,0.8423333333333334,0.4551701909456795,39.12689280509949
"[784, 256, 128, 10]",0.05,0.01,0.8368333333333333,0.4530760727325065,117.76015710830688
"[784, 256, 128, 10]",0.01,0.0,0.8315,0.47029848123407086,115.48062229156494
"[784, 256, 128, 10]",0.01,0.001,0.8268333333333333,0.485110876826257,117.68316602706909
"[784, 128, 64, 10]",0.01,0.001,0.8243333333333334,0.5042584035994054,40.70310139656067
"[784, 128, 64, 10]",0.01,0.0,0.824,0.5053289975570991,39.50470423698425
"[784, 256, 128, 10]",0.01,0.01,0.819,0.5328570251729031,115.82976770401001
"[784, 64, 32, 10]",0.01,0.001,0.8083333333333333,0.5522316557240655,31.605189085006714
"[784, 64, 32, 10]",0.01,0.0,0.8063333333333333,0.5464013521669334,29.69189214706421
"[784, 128, 64, 10]",0.01,0.01,0.801,0.5787950951230699,39.04374027252197
"[784, 256, 128, 10]",0.005,0.0,0.7966666666666666,0.5777285346184599,116.40527129173279
"[784, 256, 128, 10]",0.005,0.001,0.7966666666666666,0.5803380359013747,115.40370917320251
"[784, 256, 128, 10]",0.005,0.01,0.7835,0.629115381763902,114.93746423721313
"[784, 128, 64, 10]",0.005,0.001,0.7771666666666667,0.6242474058189963,44.04817342758179
"[784, 128, 64, 10]",0.005,0.0,0.7753333333333333,0.6376134680547306,37.87050461769104
"[784, 128, 64, 10]",0.1,0.05,0.7686666666666667,0.7245501355982921,38.42121505737305
"[784, 256, 128, 10]",0.05,0.05,0.7576666666666667,0.7243078337359953,115.58912348747253
"[784, 64, 32, 10]",0.01,0.01,0.7541666666666667,0.6852740200074511,28.281899452209473
"[784, 256, 128, 10]",0.1,0.05,0.7528333333333334,0.7304629391464289,116.71384406089783
"[784, 64, 32, 10]",0.005,0.001,0.741,0.7293006504776661,30.17925453186035
"[784, 128, 64, 10]",0.005,0.01,0.7398333333333333,0.7625369163273581,43.65600872039795
"[784, 64, 32, 10]",0.005,0.0,0.7385,0.7349604442937856,30.77586793899536
"[784, 256, 128, 10]",0.01,0.05,0.7231666666666666,0.8467497668599256,115.24046611785889
"[784, 128, 64, 10]",0.05,0.05,0.7075,0.8208752246448868,40.545785427093506
"[784, 256, 128, 10]",0.005,0.05,0.6993333333333334,0.9044084502792588,115.14568161964417
"[784, 64, 32, 10]",0.005,0.01,0.6298333333333334,0.9517393856649783,29.991832733154297
"[784, 128, 64, 10]",0.01,0.05,0.6235,1.056627876591308,37.53726530075073
"[784, 128, 64, 10]",0.005,0.05,0.5433333333333333,1.1650536151947917,44.120452642440796
"[784, 64, 32, 10]",0.1,0.05,0.0985,2.3027252759214756,27.14738154411316
"[784, 64, 32, 10]",0.05,0.05,0.0925,2.302748486936516,28.62329864501953
"[784, 64, 32, 10]",0.01,0.05,0.0925,2.3027856762744388,31.283796072006226
"[784, 64, 32, 10]",0.005,0.05,0.0925,2.3027885232884824,29.7586452960968
